"ROK","NAROZENI","OKRES","KRAJ","ID_KRAJ","ROK_JPZ"
"2007","1211","Prostějov","Olomoucký","CZ071",2022
"2007","1398","Přerov","Olomoucký","CZ071",2022
"2007","1347","Šumperk","Olomoucký","CZ071",2022
"2007","1123","Kroměříž","Zlínský","CZ072",2022
"2007","1425","Uherské Hradiště","Zlínský","CZ072",2022
"2007","1556","Vsetín","Zlínský","CZ072",2022
"2007","1955","Zlín","Zlínský","CZ072",2022
"2007","1064","Bruntál","Moravskoslezský","CZ080",2022
"2007","2246","Frýdek-Místek","Moravskoslezský","CZ080",2022
"2007","2737","Karviná","Moravskoslezský","CZ080",2022
"2007","1714","Nový Jičín","Moravskoslezský","CZ080",2022
"2007","1950","Opava","Moravskoslezský","CZ080",2022
"2007","3662","Ostrava-město","Moravskoslezský","CZ080",2022
"2008","14339","Hlavní město Praha ","Praha","CZ010",2023
"2008","1065","Benešov","Středočeský","CZ020",2023
"2008","983","Beroun","Středočeský","CZ020",2023
"2008","1918","Kladno","Středočeský","CZ020",2023
"2008","1070","Kolín","Středočeský","CZ020",2023
"2008","768","Kutná Hora","Středočeský","CZ020",2023
"2008","1215","Mělník","Středočeský","CZ020",2023
"2008","1500","Mladá Boleslav","Středočeský","CZ020",2023
"2008","1178","Nymburk","Středočeský","CZ020",2023
"2008","1973","Praha-východ","Středočeský","CZ020",2023
"2008","1723","Praha-západ","Středočeský","CZ020",2023
"2008","1224","Příbram","Středočeský","CZ020",2023
"2008","629","Rakovník","Středočeský","CZ020",2023
"2008","2123","České Budějovice","Jihočeský","CZ031",2023
"2008","765","Český Krumlov","Jihočeský","CZ031",2023
"2008","998","Jindřichův Hradec","Jihočeský","CZ031",2023
"2008","770","Písek","Jihočeský","CZ031",2023
"2008","588","Prachatice","Jihočeský","CZ031",2023
"2008","812","Strakonice","Jihočeský","CZ031",2023
"2008","1099","Tábor","Jihočeský","CZ031",2023
"2008","739","Domažlice","Plzeňský","CZ032",2023
"2008","892","Klatovy","Plzeňský","CZ032",2023
"2008","2104","Plzeň-město","Plzeňský","CZ032",2023
